"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[7]-theta[11]",-0.00373107607486786,-0.00372124989594441,-0.00355897997664266,20000,0.95,-0.0090019092592567,0.00173583184294157,0,8.505,NA,NA,NA,NA,NA
"theta[7]-theta[12]",-0.00239200005454425,-0.00236978991543219,-0.00191734307894907,20000,0.95,-0.00779213361944042,0.00279593428603975,0,18.81,NA,NA,NA,NA,NA
"theta[8]-theta[9]",-0.00109421775134332,-0.00108511656909854,-0.000464773822275045,21379.9,0.95,-0.00677874111958265,0.00468917058965579,0,35.56,NA,NA,NA,NA,NA
"theta[8]-theta[10]",-0.0022025989366782,-0.00220390388130504,-0.00225687281422274,20000,0.95,-0.00775050813689349,0.00339070690761611,0,22.21,NA,NA,NA,NA,NA
"theta[8]-theta[11]",-0.0107418296695349,-0.0107227073119147,-0.0106097082047574,19498.6,0.95,-0.0161645997139738,-0.00543064267816162,0,0.005,NA,NA,NA,NA,NA
"theta[8]-theta[12]",-0.0094027536492113,-0.00939866047922361,-0.00961324915328089,20000,0.95,-0.01478585516066,-0.00406154183265051,0,0.02,NA,NA,NA,NA,NA
"theta[9]-theta[10]",-0.00110838118533488,-0.00108825815651603,-0.00101655082532244,20000,0.95,-0.00655797301866556,0.00456333602387649,0,35.015,NA,NA,NA,NA,NA
"theta[9]-theta[11]",-0.00964761191819159,-0.00964749707370233,-0.00968684724117751,20000,0.95,-0.0150429371503911,-0.00439458275819327,0,0.015,NA,NA,NA,NA,NA
"theta[9]-theta[12]",-0.00830853589786798,-0.00831770157299178,-0.00844099372332277,20000,0.95,-0.0136117273282044,-0.00294936563675341,0,0.11,NA,NA,NA,NA,NA
"theta[10]-theta[11]",-0.00853923073285671,-0.00853911272071389,-0.00844945466368602,20000,0.95,-0.0136711483868659,-0.00333640744574104,0,0.08,NA,NA,NA,NA,NA
"theta[10]-theta[12]",-0.0072001547125331,-0.00721464571566266,-0.00754785601298654,20000,0.95,-0.0123798208338002,-0.00219700762276109,0,0.31,NA,NA,NA,NA,NA
"theta[11]-theta[12]",0.00133907602032361,0.00135907351589559,0.00162799749566291,20000,0.95,-0.00371745548169544,0.00625902374065812,0,70.37,NA,NA,NA,NA,NA
