"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-0.715000294146971,-0.707892,-0.701902334972104,254,0.95,-1.23411,-0.192975,NA,NA,NA,NA,NA,NA,NA
"beta[1]",3.58036213357329,3.57043,3.53674269893323,429.1,0.95,2.96993,4.18601,NA,NA,NA,NA,NA,NA,NA
"beta[2]",4.49473663867227,4.47675,4.37002064618157,175.1,0.95,3.34577,5.85147,NA,NA,NA,NA,NA,NA,NA
"zbeta0",3.84283975804839,3.83823,3.88755218161317,167.6,0.95,3.41148,4.26586,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.296429783643271,0.295608,0.292818552750286,429.1,0.95,0.24589,0.346573,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.953238357328534,0.949424,0.926790387060503,175.1,0.95,0.709566,1.24097,NA,NA,NA,NA,NA,NA,NA
"guess",0.0305458052509498,0.0309982,0.0321579004591486,177.2,0.95,0.0163552,0.0444146,NA,NA,NA,NA,NA,NA,NA
