"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",1.27203886533333,1.272205,1.27425911595167,3678.7,0.95,1.19631,1.34364,NA,NA,NA,NA,NA,NA,NA
"beta",3.05433269666667e-05,3.05396e-05,3.06096908294382e-05,1093.3,0.95,2.87014e-05,3.24375e-05,NA,NA,NA,NA,NA,NA,NA
"zbeta0",3.974050568,3.972965,3.97162703526493,1037.9,0.95,3.84916,4.09864,NA,NA,NA,NA,NA,NA,NA
"zbeta",1.18145284733333,1.18131,1.18402163236777,1093.3,0.95,1.11011,1.25463,NA,NA,NA,NA,NA,NA,NA
"guess",0.03795469634,0.037962,0.0378143809734518,1205.8,0.95,0.0336895,0.0420736,NA,NA,NA,NA,NA,NA,NA
