"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[13]-theta[32]",0.0112871755605797,0.0118970845768347,0.0138813595897374,10000,0.95,-0.00508953991819783,0.0270825370628738,0,90.75,NA,NA,NA,NA,NA
"theta[13]-theta[33]",0.107821165670236,0.106303647438128,0.101764666323358,9328,0.95,0.0547462666881952,0.163759330507801,0,100,NA,NA,NA,NA,NA
"theta[13]-theta[34]",0.0505497799388841,0.0497348607903528,0.0489486084543845,10297.9,0.95,0.0153108655709745,0.0876744818366582,0,99.8,NA,NA,NA,NA,NA
"theta[13]-theta[35]",0.0146175078007595,0.0151448525880431,0.0166776565085192,10000,0.95,-0.00216441634425113,0.0302476463166439,0,94.84,NA,NA,NA,NA,NA
"theta[13]-theta[36]",0.00961481070945573,0.0100411519732317,0.0124259181150948,10000,0.95,-0.00980864377190394,0.0268691101872266,0,85.24,NA,NA,NA,NA,NA
"theta[13]-theta[37]",0.0637238783335717,0.0631034941834017,0.0643473663089637,10000,0.95,0.0243380246254188,0.0997584627754015,0,99.98,NA,NA,NA,NA,NA
"theta[13]-theta[38]",0.0211245609183741,0.0207792437523361,0.0178995369927487,10000,0.95,-0.00749236726457758,0.0500282568993424,0,93.05,NA,NA,NA,NA,NA
"theta[13]-theta[39]",0.00360245847284737,0.00416496032887531,0.00520676390554087,10000,0.95,-0.012954466294624,0.0206474821762899,0,67.86,NA,NA,NA,NA,NA
"theta[13]-theta[40]",0.156227185774584,0.14958899747302,0.141917527044397,10000,0.95,0.0344116128477224,0.293134227538437,0,99.93,NA,NA,NA,NA,NA
"theta[13]-theta[41]",0.0248524826302398,0.0245619125828264,0.0246974124393873,10000,0.95,-0.00355108608871224,0.052880829131123,0,96.16,NA,NA,NA,NA,NA
"theta[13]-theta[42]",0.038120198097352,0.0381156227767426,0.0382730774007348,10000,0.95,0.0136498082089749,0.0618857996126797,0,99.84,NA,NA,NA,NA,NA
"theta[13]-theta[43]",-0.0231049152829465,-0.0240149666455762,-0.0262850359314255,10000,0.95,-0.0470926914244458,0.00139362118216324,0,4.25,NA,NA,NA,NA,NA
"theta[13]-theta[44]",0.0183241166694573,0.0184787422695164,0.0188526843225457,10000,0.95,-0.00462025170636726,0.0402266245704451,0,94.44,NA,NA,NA,NA,NA
"theta[13]-theta[45]",0.0143159690140492,0.0148783115275027,0.014830977115122,10000,0.95,-0.00258575027829089,0.0292998225893619,0,94.61,NA,NA,NA,NA,NA
"theta[13]-theta[46]",0.0499516491923515,0.049376799234351,0.048035646102293,10000,0.95,0.0205893134445867,0.0824131992689265,0,99.94,NA,NA,NA,NA,NA
"theta[13]-theta[47]",0.0275701552457081,0.0280878689552241,0.0312869238254179,10000,0.95,0.00950535490383064,0.0444330996514494,0,99.53,NA,NA,NA,NA,NA
"theta[13]-theta[48]",0.0195278717260755,0.0184042992854894,0.0175439909166399,10000,0.95,-0.0159883815994645,0.0542670456340506,0,87.13,NA,NA,NA,NA,NA
"theta[13]-theta[49]",-0.0169562006843563,-0.0163516882754228,-0.0153828511741382,10000,0.95,-0.0333503869571096,-0.00118932906746028,0,0.87,NA,NA,NA,NA,NA
"theta[13]-theta[50]",-0.00103298025337593,-0.000691100054396154,-0.000906302091090001,10000,0.95,-0.0201559333262948,0.0180233958265813,0,47.02,NA,NA,NA,NA,NA
"theta[13]-theta[51]",0.048473875051142,0.0446924297587863,0.0327733292830823,10312.3,0.95,-0.00973459813425614,0.113079714759202,0,95.82,NA,NA,NA,NA,NA
"theta[13]-theta[52]",0.0836661935905418,0.0779247622443498,0.0648858522300906,10000,0.95,-0.00479850108900226,0.180106296958768,0,98.24,NA,NA,NA,NA,NA
"theta[14]-theta[15]",-0.0132375438172338,-0.0118256686900747,-0.00871187217004173,9232.3,0.95,-0.0443285476273403,0.0156529457200359,0,19.96,NA,NA,NA,NA,NA
"theta[14]-theta[16]",-0.0283757682294043,-0.0272328816416573,-0.0250772176481614,9351.2,0.95,-0.0600051057095424,0.00389863564037396,0,2.85,NA,NA,NA,NA,NA
"theta[14]-theta[17]",-0.0141273584516256,-0.01356894938973,-0.0134022552782155,10000,0.95,-0.0513094144205057,0.0216365247029597,0,22.37,NA,NA,NA,NA,NA
"theta[14]-theta[18]",-0.0259132516617416,-0.0248341453762035,-0.0221533964032694,10000,0.95,-0.0598477960815313,0.00617987293621658,0,5.15,NA,NA,NA,NA,NA
