"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",1.93235938866667,1.938135,1.94923623120499,380.5,0.95,1.78197,2.07375,NA,NA,NA,NA,NA,NA,NA
"beta",0.000159524572,0.000152575,0.000144258450520478,75.6,0.95,0.000123615,0.000211572,NA,NA,NA,NA,NA,NA,NA
"zbeta0",3.193003174,3.140875,3.06827147463262,72.4,0.95,3.01178,3.50661,NA,NA,NA,NA,NA,NA,NA
"zbeta",0.267161302533333,0.2555225,0.241594953130917,75.6,0.95,0.207022,0.354327,NA,NA,NA,NA,NA,NA,NA
"guess",0.013052888946202,0.009766305,0.00276105893327238,76.7,0.95,5.94385e-06,0.0343643,NA,NA,NA,NA,NA,NA,NA
