"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[4]-theta[16]",-0.00306624258004004,-0.00308035350159569,-0.00314804077285049,20000,0.95,-0.0120154031033783,0.0054873386159402,0,24.48,NA,NA,NA,NA,NA
"theta[4]-theta[17]",-0.000706321832463365,-0.000675777996191451,-0.000414105638383632,18854,0.95,-0.00953732995221057,0.00789955960559363,0,43.775,NA,NA,NA,NA,NA
"theta[4]-theta[18]",-0.0103650895009413,-0.0103507236743078,-0.0105895573876049,20000,0.95,-0.0184963516221943,-0.00221794025754973,0,0.555,NA,NA,NA,NA,NA
"theta[4]-theta[19]",0.000116293031282254,8.66015242808604e-05,-0.000386567048466898,20000,0.95,-0.00837494818026641,0.00849281580486372,0,50.755,NA,NA,NA,NA,NA
"theta[4]-theta[20]",0.0167769513873722,0.0167840759956915,0.0160124670586498,20000,0.95,0.00767312833952716,0.0258837768239488,0,99.99,NA,NA,NA,NA,NA
"theta[4]-theta[21]",0.0123935627159819,0.0123741622761954,0.0122581542795645,20537.7,0.95,0.00314980046645241,0.0216431724971973,0,99.5,NA,NA,NA,NA,NA
"theta[4]-theta[22]",-0.0101220609335963,-0.0101135139852518,-0.0101579156730491,20000,0.95,-0.0180348182364081,-0.00147094019729122,0,0.855,NA,NA,NA,NA,NA
"theta[4]-theta[23]",-0.00123874557015709,-0.00118446958699386,-0.000293294872564551,20000,0.95,-0.00980235432035836,0.00734740737078865,0,39.695,NA,NA,NA,NA,NA
"theta[4]-theta[24]",-0.00628700876883191,-0.00629568930070179,-0.0065855425475323,20000,0.95,-0.0151576915567985,0.00210801991665532,0,7.655,NA,NA,NA,NA,NA
"theta[4]-theta[25]",0.0104702558298653,0.0104679946435606,0.0102447556660423,19470.8,0.95,0.0010668117627719,0.0205295672197559,0,98.175,NA,NA,NA,NA,NA
"theta[4]-theta[26]",0.00506894511070599,0.00506073847188715,0.00517561521120655,20000,0.95,-0.0038270958377864,0.0142293162267854,0,86.19,NA,NA,NA,NA,NA
"theta[4]-theta[27]",-0.00195855329341329,-0.00193271137188222,-0.00187120276669615,20000,0.95,-0.0104021025542723,0.00698047782314559,0,33.175,NA,NA,NA,NA,NA
"theta[4]-theta[28]",0.00908366162677681,0.00907881362858026,0.0091638781591226,20000,0.95,-0.00035206414216471,0.0183939210070366,0,97.14,NA,NA,NA,NA,NA
"theta[4]-theta[29]",0.0162787918233121,0.016244335260337,0.0159950040816214,20467.6,0.95,0.00659078237566013,0.0256489767151106,0,99.97,NA,NA,NA,NA,NA
"theta[4]-theta[30]",-0.0091771550759184,-0.00923024713382686,-0.00951829520520279,20000,0.95,-0.0178368803633854,-0.000776510486470094,0,1.835,NA,NA,NA,NA,NA
"theta[4]-theta[31]",-0.00617383752407258,-0.00621663826532209,-0.00595439217560083,20000,0.95,-0.0163863439600248,0.00426249557539715,0,12.265,NA,NA,NA,NA,NA
"theta[5]-theta[6]",-0.00339644664218422,-0.00337414217590831,-0.00334156458707128,20000,0.95,-0.011379555557864,0.00462113253167118,0,20.505,NA,NA,NA,NA,NA
"theta[5]-theta[7]",-0.0111035426712356,-0.0110801239088545,-0.0113188229897443,20000,0.95,-0.018514269041971,-0.00348498552414989,0,0.155,NA,NA,NA,NA,NA
"theta[5]-theta[8]",-0.00293470348180755,-0.00288446557090366,-0.00280242358045897,19763,0.95,-0.0108248527027626,0.00468129184324995,0,23.035,NA,NA,NA,NA,NA
